страна;рождаемость;смертн;деск_см;длит_муж;длит_жен;доход;регион
Namibia;44.0;12.1;135.0;55.0;57.5;1030;6
Nigeria;48.5;15.6;105.0;48.8;52.2;360;6
Sierra_Leone;48.2;23.4;154.0;39.4;42.6;240;6
Somalia;50.1;20.2;132.0;43.4;46.6;120;6
South_Africa;32.1;9.9;72.0;57.5;63.5;2530;6
Sudan;44.6;15.8;108.0;48.6;51.0;480;6
Swaziland;46.8;12.5;118.0;42.9;49.5;810;6
Tunisia;31.1;7.3;52.0;64.9;66.4;1440;6
Uganda;52.2;15.6;103.0;49.9;52.7;220;6
Tanzania;50.5;14.0;106.0;51.3;54.7;110;6
Zaire;45.6;14.2;83.0;50.3;53.7;220;6
Zambia;51.1;13.7;80.0;50.4;52.5;420;6
Zimbabwe;41.7;10.3;66.0;56.5;60.1;640;6
